id,width,height,url,photographer,photographer_url,photographer_id,avg_color,original,large2x,large,medium,small,portrait,landscape,tiny,liked,alt,orientation,area,color_group,include_word_cozy_or_peaceful
30938556,1560,2768,https://www.pexels.com/photo/tranquil-jungle-retreat-in-mazunte-oaxaca-30938556/,Luis  Vargas,https://www.pexels.com/@luis-vargas-651930845,651930845,#565133,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30938556/pexels-photo-30938556.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A serene jungle setting with rustic furniture in Mazunte, Oaxaca, Mexico.",portrait,4318080,medium,FALSE
18068357,7500,10000,https://www.pexels.com/photo/top-view-of-sun-loungers-standing-on-a-rocky-terrace-on-a-shore-18068357/,Engin Akyurt,https://www.pexels.com/@enginakyurt,631997,#766E61,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/18068357/pexels-photo-18068357.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Aerial view of striped lounge chairs on a stone terrace by the ocean's edge.,portrait,75000000,medium,FALSE
33987646,3024,4032,https://www.pexels.com/photo/seaside-mediterranean-outdoor-retreat-with-rustic-furniture-33987646/,Nora G,https://www.pexels.com/@oceanofstars,1784023156,#7A776E,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/33987646/pexels-photo-33987646.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Cozy seating area under trees by the sea, perfect for relaxation in a Mediterranean setting.",portrait,12192768,medium,TRUE
26842026,2000,3000,https://www.pexels.com/photo/palm-trees-growing-in-summer-resort-26842026/,Pew Nguyen,https://www.pexels.com/@nguyendesigner,65907,#86816E,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/26842026/pexels-photo-26842026.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Scenic view of tropical resort with wooden gazebo and palm trees.,portrait,6000000,medium,FALSE
28513306,3755,5633,https://www.pexels.com/photo/sunny-outdoor-cafe-seating-by-stone-wall-28513306/,Berna,https://www.pexels.com/@mibernaa,424970785,#9E948A,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28513306/pexels-photo-28513306.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Cozy outdoor cafe seating with rustic charm beside a tall stone wall under a clear sky.,portrait,21151915,medium,TRUE
32564790,2224,3955,https://www.pexels.com/photo/serene-lakeside-scene-with-benches-in-bursa-32564790/,Mihrî,https://www.pexels.com/@mihri-2150680379,2150680379,#5C6854,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/32564790/pexels-photo-32564790.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A tranquil lakeside view in Bursa, Türkiye, featuring two benches under a tree.",portrait,8795920,medium,FALSE
29159501,2592,4608,https://www.pexels.com/photo/serene-forest-picnic-area-in-sunlight-29159501/,Samidarefle,https://www.pexels.com/@samidarefle-187257480,187257480,#241C11,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/29159501/pexels-photo-29159501.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A tranquil forest scene with a picnic table bathed in soft sunlight, perfect for a peaceful retreat.",portrait,11943936,dark,TRUE
30739568,4000,6000,https://www.pexels.com/photo/serene-park-bench-by-tranquil-pond-30739568/,Nimit N,https://www.pexels.com/@nimitclix,17372498,#616453,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/30739568/pexels-photo-30739568.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Empty stone bench overlooking a serene pond in a lush green park.,portrait,24000000,medium,FALSE
35368583,2146,3399,https://www.pexels.com/photo/charming-hillside-restaurant-with-lush-greenery-35368583/,Valeria Drozdova,https://www.pexels.com/@valeria-drozdova-2148646707,2148646707,#666E59,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/35368583/pexels-photo-35368583.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,A picturesque hillside restaurant surrounded by lush greenery under a bright blue sky.,portrait,7294254,medium,FALSE
24768558,4480,6720,https://www.pexels.com/photo/bench-and-lake-24768558/,HONG SON,https://www.pexels.com/@hson,2206713,#555C54,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/24768558/pexels-photo-24768558.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Peaceful lake view with empty bench surrounded by lush greenery in a serene park.,portrait,30105600,medium,TRUE
